,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
1846,Melbourne,MELBOURNE,-37.81488027,144.952127,Apartment,Entire home/apt,0,2,105,1,10,30,55,186,90,strict_14_with_grace_period,40,4.61,4279
1847,Port Phillip,MELBOURNE,-37.84431989,144.9783538,Apartment,Entire home/apt,1,1,90,1,0,0,0,15,68,strict_14_with_grace_period,1,0.41,4279
1848,Melbourne,MELBOURNE,-37.81435817,144.9572899,Apartment,Entire home/apt,2,3,141,3,5,24,24,82,94,strict_14_with_grace_period,87,2,4279
1849,Melbourne,MELBOURNE,-37.82058573,144.9557149,Apartment,Entire home/apt,2,3,109,30,0,0,0,1,,flexible,1,0.03,4279
1850,Melbourne,MELBOURNE,-37.80867954,144.9650129,Apartment,Entire home/apt,2,3,174,2,24,44,70,71,96,moderate,7,1.94,4279
1851,Melbourne,MELBOURNE,-37.84093296,144.977634,Apartment,Entire home/apt,3,1,150,1,0,0,0,1,,flexible,1,0.02,4279
1852,Melbourne,MELBOURNE,-37.81647595,144.9540066,Apartment,Entire home/apt,1,2,114,1,21,42,66,294,91,strict_14_with_grace_period,98,7.19,4279
1853,Melbourne,MELBOURNE,-37.81832458,144.9647891,Apartment,Entire home/apt,2,2,500,1,30,60,90,0,,flexible,1,,4279
1854,Melbourne,MELBOURNE,-37.81692349,144.9603713,Apartment,Entire home/apt,1,1,150,10,0,2,32,3,100,strict_14_with_grace_period,1,0.26,4279
1855,Melbourne,MELBOURNE,-37.81142375,144.9589859,Apartment,Private room,1,1,35,3,0,0,0,1,,flexible,1,0.02,4279
1856,Port Phillip,MELBOURNE,-37.86161648,144.9994197,Apartment,Entire home/apt,2,2,84,10,0,0,0,0,,flexible,1,,4279
1857,Melbourne,MELBOURNE,-37.81561259,144.9678721,Loft,Private room,1,1,105,3,5,9,25,166,98,strict_14_with_grace_period,1,4.28,4279
1858,Melbourne,MELBOURNE,-37.8169217,144.966007,Apartment,Entire home/apt,0,2,150,3,30,60,90,17,90,moderate,2,0.42,4279
1859,Melbourne,MELBOURNE,-37.8147788,144.9515548,Apartment,Entire home/apt,2,4,169,1,7,21,51,320,90,strict_14_with_grace_period,4,7.77,4279
1860,Melbourne,MELBOURNE,-37.80876037,144.9713819,Apartment,Private room,1,1,79,2,0,4,34,84,96,strict_14_with_grace_period,1,2.07,4279
1861,Port Phillip,MELBOURNE,-37.85410174,144.9816227,Apartment,Private room,1,1,80,1,0,0,0,0,,flexible,1,,4279
1862,Melbourne,MELBOURNE,-37.81549912,144.9541873,Apartment,Entire home/apt,1,2,130,1,5,12,20,64,93,strict_14_with_grace_period,3,1.63,4279
1863,Melbourne,MELBOURNE,-37.81635795,144.9668585,Apartment,Entire home/apt,2,3,150,2,14,29,59,93,95,strict_14_with_grace_period,1,2.31,4279
1864,Port Phillip,MELBOURNE,-37.83646796,144.975613,Apartment,Entire home/apt,2,4,199,5,0,0,0,4,95,strict_14_with_grace_period,1,0.1,4279
1865,Melbourne,MELBOURNE,-37.8109476,144.9694824,Apartment,Entire home/apt,1,1,170,2,2,16,46,76,97,strict_14_with_grace_period,1,1.98,4279
1866,Port Phillip,MELBOURNE,-37.83634609,144.9742664,Condominium,Entire home/apt,2,2,226,3,13,35,65,30,99,flexible,1,0.75,4279
1867,Melbourne,MELBOURNE,-37.80815176,144.9607571,Apartment,Private room,1,1,75,1,19,34,34,171,96,flexible,3,4.35,4279
1868,Melbourne,MELBOURNE,-37.81470125,144.953412,Apartment,Entire home/apt,0,2,105,1,18,38,68,197,89,strict_14_with_grace_period,40,4.86,4279
